id,name,surname,date_of_birth,date_of_death,place_of_birth,place_of_death,life,music,computed_death
2677,Joseph,Martin Kraus,1756-06-20,1792-12-15,"Miltenberg,Germany","Stockholm,Sweden",,,
2678,Zygmunt,Krauze,1939-09-19,,"Warsaw,Poland",,,,
2679,Johann,Ludwig Krebs,1713-10-10,1780-01-01,"Buttelstedt,Germany","Altenburg,Germany",,,
2680,Fritz,Kreisler,1875-02-02,1962-01-29,"Wien,Austria","New,USA",,,
2681,Uroš,Krek,,,Slovenia,,,,
2682,Ernst,Křenek,1900-08-23,1991-12-22,"Wien,Austria","Palm,USA",,,
2683,Konradin,Kreutzer,1780-11-22,1849-12-14,"Messkirch,Germany","Riga,Russia",,,
2684,Adam,Krieger,1634-01-07,1666-06-30,"Driesen,Germany","Dresden,Germany",,,
2685,Johann,Philipp Krieger,1649-02-27,1725-02-06,"Nürnberg,Germany","Weissenfels,Germany",,,
2686,Pavel,Křížkovský,1820-01-09,1885-05-08,"Holašovice,Czech Republic","Brno,Czech Republic",The Czech choral composer Pavel Křížkovský wa also a conductor. In 1845 he became an Augustinian friar in the St. Thomas’s Abbey.,,
2687,Georg,Kröll,1934-05-03,,"Linz,Germany",,,,
2688,Franz,Vinzenz Krommer <small>(Křamer)</small>,1759-11-27,1831-01-08,"Kamenice,,Czech Republic","Wien,Austria",,,
2689,Branimir,Krstic,,,"Osijek,Croatia",,,,
2690,Annette,Kruisbrink,,,"Amsterdam,The Netherlands",,,,
2691,Johann,Baptist Krumpholz,1745-05-03,1790-02-19,"Zlonitz,Poland","Paris,France",,,
2692,Bjørn,Kruse,1946-08-14,,"London,England",,,,
2693,Johan,Adam Krygell,1835-09-18,1915-07-27,"Naestved,Denmark","Copenhagen,Denmark","J.A. Krygell was a pupil of Niels W. Gade and I.P.E. Hartmann. His instrument was the organ and he earned his living as an organist from the age of 22 until his death. He was from a poor family, son of a military musician in the province town of Naestved. Krygell was meant to be a craftsman, but illnes prevented him, and instead he learned to play the organ. In 1867 he was admitted to the new Conservatory of Copenhagen, where he spent 18 months. When he returned, he was appointed organist of the Herlufsholm boarding school. In 1880 he moved with his family (wife Ulrica and three girls) to Copenhagen and started as an organist in the newly opened Skt. Matthaeus: Church. He kept the job until his death. Krygell was a prolific composer with more than 150 works. The main body of his output are 24 string quartets, one in every key, as well as 3 symphonies and 10 orchestral ouvertures. He also wrote a lot of music for the organ, and this music was the most frequently performed in his own time. The most important work for organ is the 24 preludes and fuges. Krygell was never a big name in Danish musical life, first of all because his music with its blend of baroque writing and late romantic expressivity was too strange for danish music lovers, but also because Krygell himself apparently was quite a strange person. Coming from the province with no social contacts probably didn’t make things easier, and Krygell remained somewhat isolated from the main stream musical life in Copenhagen.",,
2694,Jan,Křtitel [Johann Baptist] Kuchař <small>(Kucharz)</small>,1751-03-05,1829-02-18,"Choteč,,Czech Republic","Prague,Czech Republic","The Czech composer Jan Křtitel Kuchař was also an organist, harpsichordist, and teacher.",,
2695,Timothy,Kucij,1954-09-02,,"Whittier,,USA",,"Timothy Michael Kucij is a well-known composer and pianist. He has concertized widely and released two CDs (""A Place Somewhere"" and ""LifeSongs"") of his music to date. His music (scorebooks and CDs) is housed in many of the nation’s libraries. A virtuoso pianist, his music varies in style from neo-classical to ballad, pop, jazz and ragtime. He is listed in Who’s Who in America and Who’s Who in the World. In 1989 he was named distinguished alumnus from Cal Poly University at Pomona.",,
2696,Mikel,Kuehn,1967-01-14,,"Eau,USA",,,,
2697,Friedrich,Daniel Rudolf Kuhlau,1786-09-11,1832-03-12,"Ülzen,Germany","Lyngby,Denmark",,,
2698,Max,Kuhn,1896-04-28,1994-02-07,"Zürich,Switzerland","Ascona,Switzerland",,,
2699,Johann,Kuhnau,1660-04-06,1722-06-05,"Geising,Germany","Leipzig,Germany",Johann Kuhnau was the Cantor of St. Thomas’s Church and Musical Director for the city of Leipzig. Kuhnau was J.S. Bach’s predecessor in Leipzig. Bach was inspired by his work to write his “Six Partitas”.,,
2700,Hanna,Kulenty,1961-03-18,,"Bialystok,Poland",,,,
2701,Petri,Kuljuntausta,1961-02-28,,"Tampere,Finland",,,,
2702,Theodor,Kullak,1818-09-12,1882-03-01,"Krotoschin,Germany","Berlin,Germany",,,
2703,Friedrich,August Kummer,1797-08-05,1879-08-22,"Meiningen,Germany","Dresden,Germany",The German cellist and composer Friedrich August Kummer was the most important member of a musical family that flourished in Saxony in the 18th and 19th centuries.,,
2704,Jorge,Kumok,,,Argentina,,,,
2705,Jos,Kunst,1936-01-03,1996-01-18,"Roermond,The Netherlands",The Netherlands,,,
2706,Meyer,Kupferman,1926-07-03,2003-11-26,"New,USA","Rhinebeck,,USA","Studied at New York’s High School of Music and Art. Majored in music at Queens College in Queens, NY.  Was a clarinetist. Taught at Sarah Lawrence College.",,
2707,György,Kurtág,1926-02-19,,"Lugoj,Romania",,The Romanian-born composer György Kurtág became an Hungarian citizen in 1948. In the beginning of his carreer he was a disciple of Bartók and Kodály. Later in his life he became a follower of the serialism of Webern.,,
2708,Ivan,Kurz,1947-11-29,,"Praha,Czech Republic",,,,
2709,Toivo,Kuula,1883-07-07,1918-05-18,"Vaasa,Finland","Helsinki,Finland",Toivo Kuula died in a hospital in Viipuri after being shot (by accident?) by a soldier celebrating the victory in the Civil war of Finland.,,
2710,Elisabeth,Kuyper,1877-10-13,1953-02-26,"Amsterdam,The Netherlands","Lugano,Switzerland",,,
2711,Otomar,Kvěch,1950-05-25,,"Praha,Czechoslovakia",,,,
2712,Trond,Hans Farner Kverno,1945-10-20,,"Oslo,Norway",,Norwegian composer and church musician Trond Kverno is also an Auxiliary Bishop of the Christ Catholic Church International.,,
2713,Hanspeter,Kyburz,,,,,,,
2714,Giorgos,Kyriakakis,1967-08-24,,"Crete,Greece",,,,
2715,Sogomon,Sogomonian <small>(Komitas)</small>,,,"Kütahya,Turkey","Paris,France",,,
2716,Geert,van Keulen,1943-10-11,,"Amsterdam,The Netherlands",,,,
2717,Gerhard,von Keußler <small>(von Keussler)</small>,1874-07-05,1949-08-21,"Alt-Schwanenburg,Livonia (now Latvia)","Niederwartha,,Germany",,,
2718,Anna,von Köln,,,,Germany,,,
2719,Johann,Nepomuk Kafka,1819-05-17,1886-10-23,Bohemia,?,Johann Nepomuk Kafka is known as a composer of “Salon” music. He was also an autograph collector. Beethoven’s so-called Kafka note book is named after Johann Nepomuk Kafka.,,
2720,Erik,Satie,1866-05-17,1925-07-01,"Honfleur,France","Paris,France",,,
2721,Werner,Egk,1901-05-17,1983-07-10,"Auchsesheim,Germany","Inning,Germany",,,
2722,Peter,Mennin,1923-05-17,1983-06-17,"Erie,,USA","New,USA",,,
2723,Philippe,Boesmans,1936-05-17,,"Tongeren,Belgium",,,,
2724,Jacob,Wilhelm Lustig,1706-09-21,1796-05-17,"Hamburg,Germany","Groningen,The Netherlands","The Dutch theorist, organist and composer Jacob Wilhelm Lustig was of German descent. Among his teachers were Mattheson, Telemann and Kuntzen. His father, who was also called Jacob Wilhelm, had been a pupil of J.A. Reincken.",,
2725,Fanny,Cécile Mendelssohn <small>(Hensel)</small>,1805-11-14,1847-05-17,"Hamburg,Germany","Berlin,Germany",,,
2726,Henri,Cohen,,1880-05-17,"Amsterdam,The Netherlands","Brie,France",,,
2727,Paul,Dukas,1865-10-01,1935-05-17,"Paris,France","Paris,France",,,
2728,Pietro,Mascagni,1863-12-07,1945-08-02,"Livorno,Italy","Roma,Italy",,,
2729,Ruggero,Leoncavallo,1857-04-23,1919-08-09,"Napoli,Italy","Montecatini,Italy",,,
2730,Maurice,Ravel,1875-03-07,1937-12-28,"Ciboure,France","Paris,France",,,
2731,Aloís,Hába,1893-06-21,1973-11-18,"Vizovice,Eastern Moravia","Praha,Czechoslovakia (Now Czech Republic)",Student: Necil Akses (Turkey),,
2732,Sergey,Prokofiev,1891-04-23,1953-03-05,"Sontsovka,Russia (now Ukraine)","Moscow,Russia",Prokofiev’s birthday in the old style calendar is 11 April 1891.,,
2733,Samuel,Lover,1797-02-24,1868-07-06,"Dublin,Ireland","St.,UK","The Irish composer Samuel Lover was also known as a writer and as a painter. He wrote the text to his own opera “Grana Uile, or the The Island Queen” (premiered 9 February 1839 in Dublin). He also painted a miniature of Paganini in 1832. From 1835 he settled in London as a miniature painter. After his eyesight began to fail him, he started touring with a successful musical entertainment, called “Irish Evenings”, in Enlend, Scotland, Wales and even the USA (1846).",,
2734,William,James Mathias,1934-11-01,1992-07-29,"Whitland,,Wales","Anglesey,Wales",,,
2735,Ralf,Bauer-Mörkens,1953-02-26,,"Bonn,Germany",,,,
2736,Nancy,Van de Vate,1930-12-30,,"Plainfield,,USA",,,,
2737,Ignaz,[Ignace] Vitzthumb <small>(Witzthumb)</small>,1724-09-14,1816-03-23,"Baden,Austria","Brussel,Belgium",,,
2738,Lilia,Valitova,1960-10-03,,"Salavat,,Russia",,,,
2739,Arkadi,Troitsky <small>(Аркадий Троицкий)</small>,1957-04-10,,"Moscow,Russia",,,,
2740,Olivia,Saunders Fox,1980-05-19,,"Kingston-upon-Thames,England",,,,
2741,Wolfgang,Amadeus <small>(Amadé)</small> Mozart,1756-01-27,1791-12-05,"Salzburg,Austria","Wien,Austria","Son of Leopold, father of Franz Xaver.",,
2742,Antonio,Vivaldi,1678-03-04,1741-07-28,"Venezia,Italy","Wien,Austria",,,
2743,Pyotr,Ilyich Tchaikovsky,1840-05-07,1893-11-06,"Wotkinsk,Russia","St.,Russia",,,
2744,Ludwig,van Beethoven,1770-12-16,1827-03-26,"Bonn,Germany","Wien,Austria",Beethoven’s birthdate was very likely 16 December. He was baptised on the 17 December (thanks Melissa Arseneau!).,,
2745,Johann,Sebastian Bach,1685-03-21,1750-07-28,"Eisenach,Germany","Leipzig,Germany","Father of Wilhelm Friedemann, Carl Philipp Emanuel, Johann Christoph Friedrich and Johann Christian.",,
2746,Johann,Nepomuk Hummel,1778-11-14,1837-10-17,"Pressburg,Slovak Republic","Weimar,Germany",,,
2747,Johannes,Brahms,1833-05-07,1897-04-03,"Hamburg,Germany","Wien,Austria",,,
2748,Antonio,Salieri,1750-08-18,1825-05-07,"Legnago,Italy","Vienna,Austria",,,
2749,Gustav,Mahler,1860-07-07,1911-05-18,"Kalischt,Czech Republic","Wien,Austria",,,
2750,Georges,Bizet,1838-10-25,1875-06-03,"Paris,France","Bougival,France",,,
2751,Antonio,(de) Literes (y Carrión),1673-06-18,1747-01-18,"Artá,,Spain","Madrid,Spain",,,
2752,Boris,"Berlin <small>(Lawrence London, René Saint-Jean)</small>",1907-05-27,,"Kharkov,Russia",,,,
2753,Nicolas,(Clais) Champion <small>((le) Liégois)</small>,,1533-09-20,,?,,,
2754,José,de la Cruz Mena,1874-05-03,1907-09-22,"Leon,Nicaragua",Nicaragua,,,
2755,Adam,de la Halle,,,,,,,
2756,Pierre,de la Rue,,,,"Kortrijk,Belgium",,,
2757,Francisco,de Lacerda,1869-03-11,1934-06-17,"São,Portugal","Lisboa,Portugal","Andrew Ormonde &lt;andrew.ormonde<img src=""/a.png"" style=""border: 0pt; margin: 0pt; padding: 0pt;"" alt=""(at)""/>gmail.com&gt; writes: I am a distant relative of Francisco de Lacerda and I would just like to say that my grandmother told me that once he had to play an 11 key harmony in a song on the piano and to comeplete the harmony, he cleverly used his nose to press down the 11th key.",,
2758,Michel-Richard,de Lalande,1657-12-15,1726-06-18,"Paris,France","Versailles,France",,,
2759,Daniël,de Lange,1841-07-11,1918-01-30,"Rotterdam,The Netherlands","Point,USA",,,
2760,Reinbert,de Leeuw,1938-09-08,,"Amsterdam,The Netherlands",,"Reinbert de Leeuw has written some compositions, but he is mainly known as a conductor of contemporary music, and also as pianist. He conducted many of the great 20th century composers (Messiaen, Kagel, Gubaidulina, Górecki, Schőnberg, Webern, to name but a few), and made some highly praised recordings as a pianist (his interpretation of Satie’s compositions is legendary).",,
2761,Ton,de Leeuw,1926-11-16,1996-05-31,"Rotterdam,The Netherlands","Paris,France",,,
2762,Emmanuel,de Lescazes,1847-08-31,1931-07-26,"Montauban,France","Pau,France",,,
2763,Alain,De Ley,1961-09-28,,"Wilrijk,Belgium",,,,
2764,Orlando,di Lasso <small>(Lassus)</small>,,1594-06-14,"Mons,Belgium","München,Germany",,,
2765,Gaultier,le Vieux Ennemond <small>(de Lyon)</small>,,,,"?,France",,,
2766,Tomás,Genovés y Lapetra,1805-12-28,1861-06-05,"Zaragoza,Spain","Burgos,Spain",,,
2767,Juan,Ginés Pérez de la Parra,,,,"Orihuela,Spain","It seems that there are also records that state Ginés Pérez‛ dying year as 1612, but 1600 looks like the correct year.",,
2768,Mehdi,"Hosseini <small>(<span lang=""ir"" dir=""rtl"">سید مهدی حسینی</span>)</small>",1979-07-10,,"Tehran,Iran",,,,
2769,Candelario,Huízar (García de la Cadena),1883-02-02,1970-05-03,"Jérez,,Mexico","Mexico,Mexico",,,
2770,Andres,Isasi y Linares,,,Spain,Spain,,,
2771,Elisabeth-Claude,Jacquet de la Guerre,1665-03-17,1729-06-27,"Saint-Louis-en-l’Île,,France","Paris,France","There is some uncertainty about her dates. Her birth year is also given as 1664, 1666 or 1667, and the New Grove (1986 edition) does not mention a birth day.",,
2772,Niels,La Cour,,,Denmark,,,,
2773,Théodore,Labarre,1805-03-05,1870-03-09,"near,France","Paris,France",,,
2774,Marcel,Labey,1875-08-06,1968-11-25,"Le,France","Nancy,France",,,
2775,Sophie,Lacaze,1963-09-09,,"Lourdes,France",,,,
2776,Helmut,Lachenmann,1935-11-27,,"Stuttgart,Germany",,,,
2777,Piotr,de Peslin Lachert,1938-09-05,,"Warsaw,Poland",,,,
2778,Franz,Lachner,1803-04-02,1890-01-20,"Rain,Germany","München,Germany",,,
2779,Ludwig,Wenzel Lachnith,1746-07-07,1820-10-03,"Prague,Czech Republic","Paris,France",The Bohemian composer Ludwig Wenzel Lachnith was also a horn player. He wrote a pastiche on Mozart’s “Die Zauberflöte”.,,
2780,William,J. Lackey,1976-06-24,,"Newport,USA",,"Lackey is currently pursuing a Doctor of Music Arts degree in Music Composition at the University of Missouri — Kansas City’s Conservatory of Music. He is presently studying with James Mobberley, Chen Yi, Zhou Long and Paul Rudy. Lackey received his Bachelor of Music degree in Theory/Composition from Christopher Newport University where his primary composition teacher was Jennifer Margaret Barker. He has also received training at New York University and the Walden School’s Teachers Training Institute.",,
2781,Andrew,Ladd,1960-04-04,,"Canterbury,England",,,,
2782,Kenneth,LaFave,1951-12-04,,"Tucson,,USA",,,,
2783,Lori,Laitman,1955-01-12,,"Long,USA",,,,
2784,László,Lajtha,1892-06-30,1963-02-16,"Budapest,Hungary","Budapest,Hungary",,,
2785,Edouard,Lalo,1823-01-27,1892-04-22,"Lille,France","Paris,France",,,
2786,Fung,Lam,1979-11-10,,"Hong,Hong Kong",,,,
2787,José,Ángel Lamas,1775-08-02,1814-12-09,"Caracas,Venezuela","Caracas,Venezuela",,,
2788,Constant,Lambert,1905-08-23,1951-08-21,"London,England","London,England",,,
2789,Marta,Lambertini,,,Argentina,,,,
2790,Louis,Lambillotte,1796-03-27,1855-02-27,"Lahamaide,,Belgium","Paris,France","The Belgian composer Louis Lambillotte was also an  organist, Jesuit, and palaeographer of Church music.",,
2791,Ludovic,Lamothe,1882-05-12,,"Port-au-Prince,Haiti",,"Ludovic Lamothe came into the world in Port-au-Prince, Haiti on May 12, 1882. His mother gave him his first piano lessons. Lamothe attended L’Institution St. Louis de Gonzague in Port-au-Prince before traveling to Paris to study composition at the National Conservatory of Music with Louis Diemer. His skill as a pianist caused some people to call him a ""Black Chopin"". ""A Vision of Ludovic Lamothe"" is a CD on which the composer’s works for piano are performed by pianist Charles P. Phillips. It was released by IFA Music Records in 2001.",,
2792,Robin,Lamott,1960-04-01,,"Zagreb,Croatia",,,,
2793,Jean,Jacques Lamoureux,1946-09-30,,"Montreal,Canada",,"Born in Montreal, self-composer...",,
2794,Giovanni,Battista Lampugnani,,1788-06-02,"Milan,Italy","Milan,Italy",,,
2795,John,Lanchbery,,2003-02-27,"London,England",Australia,,,
2796,Thierry,Lancino,1954-03-27,,"Civray,France",,,,
2797,Francesco,Landini,,1397-09-02,,"Firenze,Italy",,,
2798,Marcel,Landowski,1915-02-18,1999-12-23,"Pont,France","Paris,France",,,
2799,Guillaume,Landré,1905-02-24,1968-11-06,"Den,The Netherlands","Amsterdam,The Netherlands",,,
2800,Eastwood,Lane,1879-05-22,1951-01-22,"Brewerton,,USA",USA,,,
2801,David,Lang,,,"Los,USA",,,,
2802,Josephine,Lang,1815-03-14,1880-12-02,"München,Germany","Tübingen,Germany",,,
2803,Rued,Immanuel Langgaard,1893-07-28,1952-07-10,Denmark,Denmark,,,
2804,Jean,Langlais,1907-02-15,1991-05-08,"La,France","Paris,France",,,
2805,Nicholas,Lanier,,,"London,England","Greenwich,England",,,
2806,Anthony,Lanman,1973-07-17,,"Des,USA",,,,
2807,Vanessa,Lann,1968-04-06,,"Brooklyn,,USA",,"Vanessa Lann is an American/Dutch composer, also working as a professor of musicology, mathematics and philosophy in Webster University in Leiden, The Netherlands.",,
2808,Joseph,Lanner,1801-04-12,1843-04-14,"Wien,Austria","Oberdöbling,Austria",,,
2809,Paul,Lansky,1944-06-18,,USA,,,,
2810,Alcides,Lanza,,,Argentina,,,,
2811,Giorgio,Lanzani,1948-12-23,,"Milano,Italy",,"Lanzani was born in Milan on December 23rd, 1948, where he lived, wrote music and drew until 1972. He then moved to Venice where he wrote his first collection of poems, The Fool and the Moon, issued as a black box of poems and photographs. In 1982 Lanzani recorded a collection of songs, a Dream in the Middle of the Sea, a rock blues record played by the Lanzani Band, a rock band which never existed, produced by an imaginary recording company: Old Boot. In 1984 he created his second collection of poems, conceived as a white box: Parallel Roads. In April 85 he finished recording his second collection of songs, Vor Ihrem Geburtstag (Birthday’s Eve). Lanzani composed the music and Daniela De Meo wrote the lyrics. The name of the imaginary band was Parsifal. He published his third collection of poems Cosmic Love in 1986, a silver box which he presented on the occasion of his first multimedia exhibition in Venice, at the Scoleta of the Church of San Zaccaria in August of that year. The title of the exhibition of poems, music, photographs and drawings was No Roots. He wrote his most recent collection of poems in 1989: a gold box entitled The Saint and the Hero. In December 1996 Lanzani presented his first work of sacred music: an Ave Maria sung by the choir of Travo under the direction of Andrea Zermani in the church of Travo (Piacenza). A Pater Noster for a polyphonic choir and a Stabat Mater for voice and string orchestra were presented, in the church of S. Maria Ausiliatrice in Jesolo, at Easter, this year, along with the Latin version of the Ave Maria and Veni Creator Spititus for voice and organ. His most recent creation is a tale called ""La Sindrome della Rondine"" (The Syndrome of the Swallow), a project for a film with my music. Lanzani is currently working on a piano music. You can follow its development on his site, on the Music page.",,
